section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
education,TRUE,"PhD, Public Health-Florida International University",,"Miami, FL, USA",2010,2015,Dissertation: A Case-only Genome-wide Association Study of Gender- and Age-Specific Risk Markers for Childhood Leukemia ([View Thesis](https://digitalcommons.fiu.edu/etd/1832/)),,NA,
education,TRUE,MPH-Western Kentucky University,,"Bowling Green, KY, USA",2007,2009,NA,NA,NA,
education,TRUE,"MSc, Biotechnology-Allahabad Agricultural Institute",,"  Allahabad, UP, India",2003,2005,NA,NA,NA,
education,TRUE,"BSc, Biology-Lucknow Christian College, University of Lucknow",,"Lucknow, UP, India",2000,2003,NA,NA,NA,
positions,TRUE,Manager-OdinSchool,,"Hyderabad, TL, India",2024 (Sep),Present,Training working professionals in data sciene  and GenAI,Guidng students in bioinformatic and creating pipe lines to perform post-GWAS approaches,,
positions,TRUE,Postdoctoral Fellow-Aarhus University,,"Aarhus, Denmark",2023 (Aug),2024 (July),Conducted large-scale cross-disorder GWAS using iPSYCH samples to investigate shared genetic architecture between ASD and depression.,Developed and optimized bioinformatics pipelines for GWAS and postGWAS approaches,Mentored medical students in medical genetics through study cafe sessions.,
positions,TRUE,Associate Product Manager-OdinSchool,,"Hyderabad, TL, India",2021 (Aug),2023 (July),"Trained professionals in data science, machine learning,  and taught Python, R, statistics, EDA, Plotly DASH, Git, and GitHub.","Developed curriculum, projects, and assessments, integrating real-world datasets.",,
positions,TRUE,Research Scientist-GenTox Research and Development,,"Lucknow, UP, India",2018 (June),2021 (July),Applied computational approaches to assess the functional relevance of disease-associated genetic markers in cervical cancer and rheumatoid arthritis.,"Supervised medical research theses, focusing on statistical analysis in clinical studies.","Taught Bioinformatics, Immunology, Genetics, Statistics, and R, integrating research-driven insights into education.",
positions,TRUE,Postdoctoral Researcher-The Ohio State University,," Columbus, OH, USA",2017 (May),2018 (April),"Conducted a survival GWAS on leukemia patients post-transplantation, identifying key genetic variants.","Led multiple projects, including MHC region GWAS, analysis of soluble ST2 levels in acute GvHD and established a protocol for X chromosome analysis.",,
positions,TRUE,Postdoctoral Associate-Florida International University,,"Miami, FL, USA",2015 (May),2016 (Dec),Conducted functional genomics analysis of HLA region polymorphisms associated with disease susceptibility as a volunteer on OPT.,"Performed both wet and dry lab research, including cell culture, RNA extraction, and gene expression analysis.","Functionally annotated ~283,000 polymorphisms in the HLA region using R, ANNOVAR, and HaploReg.",
positions,TRUE,Graduate Assistant-Florida International University,,"Miami, FL, USA",2010 (Aug),2014 (July),Led a PhD research project investigating gender- and age-specific risk factors for childhood acute lymphoblastic leukemia (ALL) using a case-only study design.,"Conducted genetic association studies on lung and breast cancer, focusing on the HLA region through a candidate gene approach.",,
articles,TRUE,"Singh SK, Singh Schidanand, Singh Atul. Post GWAS approaches: Making sense of statistical associations. (Working paper)",,N/A,,,,,,
articles,TRUE,Singh SK. Unraveling the Role of Regulatory Elements in Genomic Architecture and Disease Susceptibility. (Working paper),,N/A,,,,NA,NA,
articles,TRUE,Singh SK. The analysis of a subset of HLA region associations in type 1 diabetes and multiple sclerosis suggests the involvement mechanisms other than antigen presentation in the pathogenesis.-Informatics in Medicine Unlocked ([LINK](https://www.sciencedirect.com/science/article/pii/S2352914821002938)),,N/A,2022,2022,,NA,NA,
articles,TRUE,"Dixit A, Singh AV, Singh CV, Yadav R, Singh SK. Knowledge and Attitude towards COVID-19 among Healthcare Workers of A Tertiary Care Hospital in India.-International Journal of Pharmaceuticals Sciences Review and Research ([LINK](https://www.researchgate.net/publication/353604456_Knowledge_and_Attitude_towards_Covid-19_among_Healthcare_Workers_of_A_Tertiary_Care_Hospital_in_India))",,N/A,2021,2021,,NA,NA,
articles,TRUE,"Singh CV, Gautam AK, Dixit A, Singh AV, Singh SK. A randomized prospective study to compare the efficacy and safety of budesonide plus formoterol and tiotropium plus formoterol in patients having mild to moderate chronic obstructive pulmonary disease.-International Journal of Basic & Clinical Pharmacology ([LINK](https://www.ijbcp.com/index.php/ijbcp/article/view/4578))",,N/A,2021,2021,,NA,NA,
articles,TRUE,Singh SK and Singh S. Breast Cancer: Current Knowledge and Future Perspective (Short Communication). Acta Scientific Womens Health ([LINK](https://actascientific.com/ASWH/pdf/ASWH-01-0029.pdf)),,N/A,2019,2019,,NA,NA,
articles,TRUE,Singh SK and Dorak MT. Cancer Immunoprevention and Public Health.-Front Public Health ([LINK](https://pubmed.ncbi.nlm.nih.gov/28534024/)),,N/A,2017,2017,,,,
articles,TRUE,"Singh SK, Lupo PJ, Scheurer ME, et.al. A childhood acute lymphoblastic leukemia genome-wide association study identifies novel sex-specific risk variants. Medicine (Baltimore) ([LINK](https://pubmed.ncbi.nlm.nih.gov/27861356/))",,N/A,2016,2016,,NA,NA,
articles,TRUE,Singh SK. Re: Association of polymorphism in cytochrome P450 2C9 with susceptibility to head and neck cancer and treatment outcome; Pragmatic use of Hardy-Weinberg equilibrium and statistical interaction analysis.- Applied & Translational Genomics ([LINK](https://pubmed.ncbi.nlm.nih.gov/27284503/)),,N/A,2014,2014,,NA,NA,
articles,TRUE,"Kennedy AE, Singh SK, Dorak MT. Re: Genome-wide association study of classical Hodgkin lymphoma and Epstein - Barr virus status-defined subgroups (Scientific correspondence).-Journal of National Cancer Institue ([LINK](https://pubmed.ncbi.nlm.nih.gov/22510815/))",,N/A,2012,2012,,NA,NA,
presentations,TRUE,"Singh SK, Dorak MT. Longevity associated HLA class II region variants map to the B-cell-specific Super-enhancer XL9 at the 33rd EFI Conference.",,"Lisbon, Portugal",2019,2019,,,,
